Date,Open,High,Low,Close,Adj Close,Volume
12/1/2019,119.1475013,,,119.2324983,,
12/2/2019,119.150002,119.379997,117.839996,119.279999,117.70649,5670900
12/3/2019,118.400002,118.959999,117.769997,118.669998,117.10453,6594800
12/4/2019,119.120003,119.199997,118.300003,118.690002,117.124268,5556600
12/5/2019,118.360001,118.779999,117.419998,118.660004,117.619888,4352800
12/6/2019,119.080002,119.800003,118.919998,119.779999,118.730064,4340800
12/7/2019,119.325001,,,119.57,,
12/8/2019,119.4475005,,,119.4650005,,
12/9/2019,119.57,119.860001,119.18,119.360001,118.313751,4816000
12/10/2019,119.349998,119.559998,119.019997,119.139999,118.095673,4282300
12/11/2019,119.400002,119.650002,118.529999,119,117.956902,3506400
12/12/2019,119,120.110001,118.68,119.760002,118.710243,4149000
12/13/2019,119.160004,120.650002,119.019997,120.290001,119.235596,5366300
12/14/2019,119.790001,,,120.415001,,
12/15/2019,120.1049995,,,120.477501,,
12/16/2019,120.419998,121.349998,120.419998,120.540001,119.483398,5350700
12/17/2019,120.949997,121.699997,120.699997,121.279999,120.216911,4575800
12/18/2019,121.510002,121.68,119.839996,119.860001,118.809364,5103000
12/19/2019,119.940002,120.510002,119.779999,120.080002,119.027435,4464100
12/20/2019,121.480003,122.120003,120.019997,120.290001,119.235596,7954400
12/21/2019,120.84,,,119.66,,
12/22/2019,120.5199985,,,119.3449995,,
12/23/2019,120.199997,120.690002,119.010002,119.029999,117.986633,4485800
12/24/2019,119.129997,119.599998,119.010002,119.510002,118.462433,2227400
12/25/2019,119.369999,,,119.5149995,,
12/26/2019,119.610001,119.849998,118.949997,119.519997,118.472336,4223800
12/27/2019,119.940002,119.940002,119.25,119.589996,118.541725,3544000
12/28/2019,119.8700025,,,119.494999,,
12/29/2019,119.8350028,,,119.4475005,,
12/30/2019,119.800003,119.809998,119.129997,119.400002,118.353401,2945800
12/31/2019,119.5,119.800003,118.190002,118.839996,117.798302,4912000
